Date,DJTMNMO,DJTMNMOT
9/21/12,1056.43,1052.7
9/22/12,1056.43,1052.7
9/23/12,1056.43,1052.7
9/24/12,1058.32,1054.6
9/25/12,1074.14,1070.4
9/26/12,1072.97,1069.32
9/27/12,1071.15,1067.39
9/28/12,1075.66,1071.86
9/29/12,1075.66,1071.86
9/30/12,1075.66,1071.86
10/1/12,1075.81,1071.95
10/2/12,1076.44,1072.58
10/3/12,1089.92,1086.01
10/4/12,1088.2,1084.31
10/5/12,1089.41,1085.43
10/6/12,1089.41,1085.43
10/7/12,1089.41,1085.43
10/8/12,1084.26,1080.31
10/9/12,1076.19,1072.2
10/10/12,1079.14,1075.22
10/11/12,1068.61,1064.59
10/12/12,1074.65,1070.6
10/13/12,1074.65,1070.6
10/14/12,1074.65,1070.6
10/15/12,1076.64,1072.61
10/16/12,1075.92,1071.88
10/17/12,1073.94,1069.89
10/18/12,1069.88,1065.72
10/19/12,1075.26,1071.1
10/20/12,1075.26,1071.1
10/21/12,1075.26,1071.1
10/22/12,1072.76,1068.6
10/23/12,1074.42,1070.27
10/24/12,1085.21,1081.04
10/25/12,1077.38,1073.17
10/26/12,1080.96,1076.77
10/27/12,1080.96,1076.77
10/28/12,1080.96,1076.77
10/29/12,1080.96,1076.77
10/30/12,1080.96,1076.77
10/31/12,1081.83,1077.81
11/1/12,1070.49,1066.53
11/2/12,1069.16,1065.18
11/3/12,1069.16,1065.18
11/4/12,1069.16,1065.18
11/5/12,1068.99,1064.96
11/6/12,1065.03,1061.03
11/7/12,1072.95,1068.74
11/8/12,1076.89,1072.56
11/9/12,1077.42,1073.15
11/10/12,1077.42,1073.15
11/11/12,1077.42,1073.15
11/12/12,1072.74,1068.5
11/13/12,1079.63,1075.27
11/14/12,1072.83,1068.51
11/15/12,1066.56,1062.26
11/16/12,1079.24,1074.88
11/17/12,1079.24,1074.88
11/18/12,1079.24,1074.88
11/19/12,1080.28,1075.99
11/20/12,1091.12,1086.7
11/21/12,1090.3,1085.82
11/22/12,1090.3,1085.82
11/23/12,1087.79,1083.41
11/24/12,1087.79,1083.41
11/25/12,1087.79,1083.41
11/26/12,1086.32,1081.91
11/27/12,1085.41,1081
11/28/12,1084.24,1079.73
11/29/12,1086.18,1081.5
11/30/12,1083.86,1079.02
12/1/12,1083.86,1079.02
12/2/12,1083.86,1079.02
12/3/12,1085.32,1080.42
12/4/12,1078.99,1074.06
12/5/12,1074.48,1069.59
12/6/12,1073.08,1068.38
12/7/12,1071.18,1066.41
12/8/12,1071.18,1066.41
12/9/12,1071.18,1066.41
12/10/12,1069.82,1064.96
12/11/12,1067.47,1062.59
12/12/12,1065.45,1060.61
12/13/12,1060,1054.66
12/14/12,1059.19,1053.88
12/15/12,1059.19,1053.88
12/16/12,1059.19,1053.88
12/17/12,1064.61,1059.35
12/18/12,1060.02,1054.73
12/19/12,1060.57,1055.34
12/20/12,1060.18,1055.23
12/21/12,1060.82,1055.91
12/22/12,1060.82,1055.91
12/23/12,1060.82,1055.91
12/24/12,1061.77,1057.05
12/25/12,1061.77,1057.05
12/26/12,1057.5,1052.91
12/27/12,1058.4,1053.79
12/28/12,1059.73,1055.04
12/29/12,1059.73,1055.04
12/30/12,1059.73,1055.04
12/31/12,1060.14,1055.48
1/2/13,1066.75,1061.97
1/3/13,1061.39,1056.67
1/4/13,1060.86,1056.14
1/5/13,1060.86,1056.14
1/6/13,1060.86,1056.14
1/7/13,1059.93,1055.21
1/8/13,1066.34,1061.5
