Date,MOM
9/21/12,24.809999
9/24/12,25.01
9/25/12,25.24
9/26/12,25.299999
9/27/12,25.299999
9/28/12,25.379999
10/1/12,25.25
10/2/12,25.27
10/3/12,25.370001
10/4/12,25.559999
10/5/12,25.57
10/8/12,25.4
10/9/12,25.4
10/10/12,25.309999
10/11/12,25.1
10/12/12,25.200001
10/15/12,25.280001
10/16/12,25.200001
10/17/12,25.32
10/18/12,25.120001
10/19/12,25.17
10/22/12,25.200001
10/23/12,25.299999
10/24/12,25.450001
10/25/12,25.32
10/26/12,25.299999
10/31/12,25.299999
11/1/12,25.219999
11/2/12,25.1
11/5/12,25.1
11/6/12,24.98
11/7/12,25.139999
11/8/12,25.34
11/9/12,25.139999
11/12/12,25.15
11/13/12,25.35
11/14/12,25.35
11/15/12,24.940001
11/16/12,25.33
11/19/12,25.33
11/20/12,25.5
11/21/12,25.5
11/23/12,25.530001
11/26/12,25.530001
11/27/12,25.379999
11/28/12,25.24
11/29/12,25.33
11/30/12,25.33
12/3/12,25.33
12/4/12,25.33
12/5/12,25.33
12/6/12,24.93
12/7/12,25.049999
12/10/12,25.049999
12/11/12,25.049999
12/12/12,24.82
12/13/12,24.690001
12/14/12,24.6
12/17/12,24.719999
12/18/12,24.5
12/19/12,24.51
12/20/12,24.559999
12/21/12,24.5
12/24/12,24.5
12/26/12,24.41
12/27/12,24.43
12/28/12,24.360001
12/31/12,24.42
1/2/13,24.57
1/3/13,24.41
1/4/13,24.42
1/7/13,24.5
1/8/13,24.42
1/9/13,24.65
1/10/13,24.65
1/11/13,24.4
1/14/13,24.4
1/15/13,24.4
1/16/13,24.4
1/17/13,24.280001
1/18/13,24.299999
1/22/13,24.07
1/23/13,24.120001
1/24/13,24.15
1/25/13,24.17
1/28/13,24.190001
1/29/13,24.129999
1/30/13,24.02
1/31/13,24.02
2/1/13,24.68
2/4/13,24.540001
2/5/13,24.540001
2/6/13,24.540001
2/7/13,24.540001
2/8/13,24.209999
2/11/13,24.27
2/12/13,24.200001
2/13/13,24.129999
2/14/13,24.200001
2/15/13,24.200001
2/19/13,24.200001
2/20/13,24.200001
2/21/13,24.200001
2/22/13,24.190001
2/25/13,24.190001
2/26/13,24.190001
2/27/13,24.190001
2/28/13,24.190001
3/1/13,24.52
3/4/13,24.620001
3/5/13,24.620001
3/6/13,24.620001
3/7/13,24.549999
3/8/13,24.5
3/11/13,24.5
3/12/13,24.5
3/13/13,24.5
3/14/13,24.540001
3/15/13,24.299999
3/18/13,24.299999
3/19/13,24.299999
3/20/13,24.299999
3/21/13,24.299999
3/22/13,24.299999
3/25/13,24.299999
3/26/13,24.299999
3/27/13,24.299999
3/28/13,24.299999
4/1/13,24.6
4/2/13,24.6
4/3/13,24.6
4/4/13,24.6
4/5/13,24.6
4/8/13,24.6
4/9/13,24.6
4/10/13,24.6
4/11/13,24.309999
4/12/13,24.309999
4/15/13,24.309999
4/16/13,24.309999
4/17/13,24.309999
4/18/13,24.309999
4/19/13,24.379999
4/22/13,24.379999
4/23/13,25
4/24/13,25
4/25/13,25
4/26/13,24.879999
4/29/13,24.9
4/30/13,24.9
5/1/13,23.75
5/2/13,23.75
5/3/13,23.75
5/6/13,23.75
5/7/13,23.75
5/8/13,23.790001
5/9/13,23.790001
5/10/13,23.790001
5/13/13,23.790001
5/14/13,23.809999
5/15/13,23.809999
5/16/13,23.809999
5/17/13,23.799999
5/20/13,23.76
5/21/13,23.76
5/22/13,23.76
5/23/13,23.76
5/24/13,23.76
5/28/13,23.76
5/29/13,24.32
5/30/13,24.32
5/31/13,24.32
6/3/13,24.32
6/4/13,24.32
6/5/13,24.32
6/6/13,24.32
6/7/13,24.32
6/10/13,24.32
6/11/13,23.299999
6/12/13,23.120001
6/13/13,23.52
6/14/13,23.52
6/17/13,23.52
6/18/13,23.6
6/19/13,23.48
6/20/13,23.48
6/21/13,23.17
6/24/13,24.059999
6/25/13,24.059999
6/26/13,24.059999
6/27/13,24.059999
6/28/13,24.059999
7/1/13,24.059999
7/2/13,23.450001
7/3/13,23.450001
7/5/13,23.450001
7/8/13,23.450001
7/9/13,23.450001
7/10/13,23.450001
7/11/13,23.450001
7/12/13,23.450001
7/15/13,23.450001
7/16/13,23.450001
7/17/13,23.450001
7/18/13,23.450001
7/19/13,23.450001
7/22/13,23.450001
7/23/13,23.450001
7/24/13,23.450001
7/25/13,23.450001
7/26/13,23.450001
7/29/13,23.450001
7/30/13,23.450001
7/31/13,23.450001
8/1/13,24
8/2/13,23.93
8/5/13,23.93
8/6/13,23.93
8/7/13,23.93
8/8/13,23.93
8/9/13,23.93
8/12/13,23.93
8/13/13,23.93
8/14/13,23.93
8/15/13,23.440001
8/16/13,23.440001
8/19/13,23.440001
8/20/13,23.559999
8/21/13,23.549999
8/22/13,23.65
8/23/13,23.700001
8/26/13,23.700001
8/27/13,23.549999
8/28/13,23.620001
8/29/13,23.66
8/30/13,23.549999
9/3/13,23.65
9/4/13,23.9
9/5/13,23.889999
9/6/13,23.780001
9/9/13,23.780001
9/10/13,23.959999
9/11/13,23.959999
9/12/13,24.049999
9/13/13,23.82
9/16/13,24
9/17/13,23.690001
9/18/13,23.690001
9/19/13,23.690001
9/20/13,23.99
9/23/13,23.83
9/24/13,24.01
9/25/13,24.01
9/26/13,24.01
9/27/13,24.01
9/30/13,24.5
10/1/13,24.5
10/2/13,24.5
10/3/13,24.5
10/4/13,24.5
10/7/13,24.5
10/8/13,24.5
10/9/13,24.5
10/10/13,24.219999
10/11/13,24.59
10/14/13,24.52
10/15/13,24.4
10/16/13,24.68
10/17/13,24.68
10/18/13,24.870001
10/21/13,24.99
10/22/13,24.85
10/23/13,24.68
10/24/13,24.620001
10/25/13,24.9
10/28/13,24.68
10/29/13,24.450001
10/30/13,24.799999
10/31/13,24.860001
11/1/13,24.860001
11/4/13,24.860001
11/5/13,25.02
11/6/13,24.74
11/7/13,25.110001
11/8/13,24.6
11/11/13,24.6
11/12/13,24.620001
11/13/13,25.02
11/14/13,24.66
11/15/13,24.639999
11/18/13,24.639999
11/19/13,24.65
11/20/13,24.559999
11/21/13,24.559999
11/22/13,24.559999
11/25/13,25
11/26/13,24.98
11/27/13,25.129999
11/29/13,25.299999
12/2/13,25.48
12/3/13,25.48
