Date,MTUM
4/19/13,46.293701
4/22/13,46.293701
4/23/13,47.47559
4/24/13,46.875565
4/25/13,47.102852
4/26/13,47.066479
4/29/13,47.339226
4/30/13,47.130119
5/1/13,47.093761
5/2/13,47.302856
5/3/13,47.839264
5/6/13,47.766525
5/7/13,47.784714
5/8/13,48.021091
5/9/13,48.030174
5/10/13,48.139271
5/13/13,48.266544
5/14/13,48.684769
5/15/13,48.848404
5/16/13,48.639317
5/17/13,48.539295
5/20/13,48.475658
5/21/13,48.684769
5/22/13,48.421104
5/23/13,48.312012
5/24/13,48.339287
5/28/13,48.557484
5/29/13,47.902905
5/30/13,47.939255
5/31/13,47.275585
6/3/13,47.011936
6/4/13,46.984661
6/5/13,46.339165
6/6/13,46.684647
6/7/13,47.466507
6/10/13,47.375595
6/11/13,47.157402
6/12/13,46.666454
6/13/13,47.257401
6/14/13,47.302856
6/17/13,47.411953
6/18/13,47.611977
6/19/13,47.157402
6/20/13,45.630032
6/21/13,45.857319
6/24/13,45.566387
6/25/13,45.975506
6/26/13,46.384624
6/27/13,46.883854
6/28/13,46.883854
7/1/13,46.975121
7/2/13,46.883854
7/3/13,46.938618
7/5/13,47.404076
7/8/13,47.668755
7/9/13,47.997318
7/10/13,48.015572
7/11/13,48.900856
7/12/13,49.010372
7/15/13,49.119896
7/16/13,48.928238
7/17/13,49.156406
7/18/13,49.384575
7/19/13,49.603611
7/22/13,49.6675
7/23/13,49.585361
7/24/13,49.411953
7/25/13,49.786148
7/26/13,49.904789
7/29/13,49.831779
7/30/13,49.731392
7/31/13,49.685753
8/1/13,50.105579
8/2/13,50.342869
8/5/13,50.196846
8/6/13,50.014305
8/7/13,49.831779
8/8/13,49.886536
8/9/13,49.758759
8/12/13,49.621861
8/13/13,49.6675
8/14/13,49.256794
8/15/13,48.408009
8/16/13,48.179848
8/19/13,48.097713
8/20/13,48.335007
8/21/13,48.006432
8/22/13,48.380634
8/23/13,48.51754
8/26/13,48.417141
8/27/13,47.723515
8/28/13,47.82391
8/29/13,48.070324
8/30/13,47.915165
9/3/13,48.188976
9/4/13,48.37151
9/5/13,48.316746
9/6/13,48.362381
9/9/13,48.709194
9/10/13,49.046879
9/11/13,49.16552
9/12/13,49.275055
9/13/13,49.512344
9/16/13,49.859158
9/17/13,49.977806
9/18/13,50.58017
9/19/13,50.571041
9/20/13,50.251595
9/23/13,49.913925
9/24/13,49.73436
9/25/13,49.487019
9/26/13,49.688568
9/27/13,49.661079
9/30/13,49.358772
10/1/13,49.780167
10/2/13,49.807648
10/3/13,49.33128
10/4/13,49.688568
10/7/13,49.367931
10/8/13,48.726677
10/9/13,48.543449
10/10/13,49.441216
10/11/13,50.00919
10/14/13,50.164928
10/15/13,49.972553
10/16/13,50.787865
10/17/13,51.419964
10/18/13,51.69479
10/21/13,51.484104
10/22/13,52.116188
10/23/13,51.969624
10/24/13,52.042904
10/25/13,52.079548
10/28/13,52.253605
10/29/13,52.565079
10/30/13,52.271931
10/31/13,52.107033
11/1/13,52.244442
11/4/13,52.116188
11/5/13,52.198639
11/6/13,52.070389
11/7/13,51.557388
11/8/13,51.813881
11/11/13,51.905499
11/12/13,51.850529
11/13/13,52.400196
11/14/13,52.794102
11/15/13,52.959003
11/18/13,52.812424
11/19/13,52.675014
11/20/13,52.647526
11/21/13,52.986473
11/22/13,53.536133
11/25/13,53.572773
11/26/13,53.481163
11/27/13,53.563602
11/29/13,53.746819
12/2/13,53.417038
12/3/13,53.215492
12/4/13,52.995632
12/5/13,52.959003
12/6/13,53.563602
12/9/13,53.655224
12/10/13,53.636906
12/11/13,52.885704
12/12/13,52.931522
12/13/13,53.215492
12/16/13,53.407871
