Date,SPY
4/22/13,134.732071
4/23/13,136.120987
4/24/13,136.207321
4/25/13,136.759445
4/26/13,136.517853
4/29/13,137.432373
4/30/13,137.760193
5/1/13,136.552444
5/2/13,137.820633
5/3/13,139.218185
5/6/13,139.571899
5/7/13,140.279388
5/8/13,140.917755
5/9/13,140.520935
5/10/13,140.97818
5/13/13,141.090286
5/14/13,142.54834
5/15/13,143.316147
5/16/13,142.64325
5/17/13,144.023605
5/20/13,144.014938
5/21/13,144.222046
5/22/13,143.152283
5/23/13,142.738113
5/24/13,142.617386
5/28/13,143.471466
5/29/13,142.539703
5/30/13,143.065979
5/31/13,141.012695
6/3/13,141.789154
6/4/13,141.10759
6/5/13,139.131927
6/6/13,140.391541
6/7/13,142.177368
6/10/13,142.177368
6/11/13,140.710724
6/12/13,139.546021
6/13/13,141.66835
6/14/13,140.779709
6/17/13,141.866791
6/18/13,142.988312
6/19/13,141.012695
6/20/13,137.518631
6/21/13,137.960083
6/24/13,136.216858
6/25/13,137.526443
6/26/13,138.888138
6/27/13,139.703339
6/28/13,139.130951
7/1/13,139.946243
7/2/13,139.816116
7/3/13,139.876755
7/5/13,141.385925
7/8/13,142.192474
7/9/13,143.215851
7/10/13,143.267883
7/11/13,145.21933
7/12/13,145.280029
7/15/13,145.835129
7/16/13,145.288712
7/17/13,145.661652
7/18/13,146.459534
7/19/13,146.719727
7/22/13,147.005951
7/23/13,146.693756
7/24/13,146.156006
7/25/13,146.511581
7/26/13,146.667694
7/29/13,146.216705
7/30/13,146.216705
7/31/13,146.320847
8/1/13,148.011993
8/2/13,148.263519
8/5/13,148.046722
8/6/13,147.205399
8/7/13,146.728439
8/8/13,147.266144
8/9/13,146.841202
8/12/13,146.667694
8/13/13,147.101349
8/14/13,146.346802
8/15/13,144.300034
8/16/13,143.823013
8/19/13,142.903671
8/20/13,143.606171
8/21/13,142.721542
8/22/13,144.022476
8/23/13,144.508163
8/26/13,143.970444
8/27/13,141.6548
8/28/13,142.157837
8/29/13,142.383301
8/30/13,141.932281
9/3/13,142.574081
9/4/13,143.753586
9/5/13,143.935715
9/6/13,144.005112
9/9/13,145.38414
9/10/13,146.459534
9/11/13,146.91922
9/12/13,146.528931
9/13/13,146.858459
9/16/13,147.708435
9/17/13,148.367584
9/18/13,150.084824
9/19/13,149.833298
9/20/13,148.785751
9/23/13,148.097214
9/24/13,147.748627
9/25/13,147.321594
9/26/13,147.888107
9/27/13,147.208298
9/30/13,146.42395
10/1/13,147.583084
10/2/13,147.443649
10/3/13,146.084045
10/4/13,147.190918
10/7/13,145.918442
10/8/13,144.219025
10/9/13,144.323593
10/10/13,147.434891
10/11/13,148.384811
10/14/13,148.977524
10/15/13,147.89679
10/16/13,149.962357
10/17/13,150.964584
10/18/13,151.984238
10/21/13,151.99292
10/22/13,152.87323
10/23/13,152.141113
10/24/13,152.646576
10/25/13,153.343826
10/28/13,153.587845
10/29/13,154.407059
10/30/13,153.640091
10/31/13,153.204376
11/1/13,153.570419
11/4/13,154.110733
11/5/13,153.622696
11/6/13,154.407059
11/7/13,152.454834
11/8/13,154.511673
11/11/13,154.537781
11/12/13,154.224014
11/13/13,155.461578
11/14/13,156.237274
11/15/13,156.917038
11/18/13,156.36795
11/19/13,156.028076
11/20/13,155.540054
11/21/13,156.794998
11/22/13,157.579391
11/25/13,157.422531
11/26/13,157.46611
11/27/13,157.849564
11/29/13,157.744965
12/2/13,157.335373
12/3/13,156.655594
12/4/13,156.638138
12/5/13,155.9496
12/6/13,157.692688
12/9/13,158.093582
12/10/13,157.527069
12/11/13,155.75795
12/12/13,155.243713
12/13/13,155.226303
12/16/13,156.193634
12/17/13,155.696884
12/18/13,158.355057
12/19/13,158.172012
12/20/13,159.092087
12/23/13,159.942047
12/24/13,160.292557
12/26/13,161.107468
12/27/13,161.098679
12/30/13,161.072433
12/31/13,161.834747
1/2/14,160.283783
1/3/14,160.257507
1/6/14,159.793076
1/7/14,160.774506
1/8/14,160.809509
1/9/14,160.914673
1/10/14,161.352829
1/13/14,159.206024
1/14/14,160.940979
1/15/14,161.808456
1/16/14,161.59819
1/17/14,160.914673
1/21/14,161.387833
1/22/14,161.493027
1/23/14,160.169846
1/24/14,156.752472
1/27/14,155.981415
1/28/14,156.910217
1/29/14,155.403091
1/30/14,157.050415
1/31/14,156.130356
2/3/14,152.616592
2/4/14,153.685638
2/5/14,153.492828
2/6/14,155.516998
2/7/14,157.444687
2/10/14,157.733887
2/11/14,159.460129
2/12/14,159.538986
2/13/14,160.362656
2/14/14,161.24765
2/18/14,161.440414
2/19/14,160.371414
2/20/14,161.31778
2/21/14,161.133743
2/24/14,162.027527
2/25/14,161.966156
2/26/14,161.97496
2/27/14,162.824921
2/28/14,163.23674
3/3/14,162.088867
3/4/14,164.367142
3/5/14,164.516068
3/6/14,164.892853
3/7/14,164.962952
3/10/14,164.875366
3/11/14,164.06041
3/12/14,164.104248
3/13/14,162.264099
3/14/14,161.808456
3/17/14,163.271774
3/18/14,164.437195
3/19/14,163.560959
3/20/14,164.516068
3/21/14,163.877991
3/24/14,163.200287
3/25/14,163.974792
3/26/14,162.795486
3/27/14,162.45224
3/28/14,163.253082
3/31/14,164.590851
4/1/14,165.682236
4/2/14,166.23671
4/3/14,166.016724
4/4/14,164.053986
4/7/14,162.240982
4/8/14,162.909866
4/9/14,164.661285
4/10/14,161.202438
4/11/14,159.750229
4/14/14,161.008774
4/15/14,162.117752
4/16/14,163.816406
4/17/14,164.045181
4/21/14,164.617264
4/22/14,165.365372
4/23/14,164.978104
